,FXCM Time,FXCM Bid,FXCM Ask,FxPro Time,FxPro bidopen,FxPro askopen
106,2022-03-29 06:37:31.485000,15008.97,15010.87,2022-03-29 09:37:31.571,15011.59,15013.09
107,2022-03-29 06:37:35.225000,15009.18,15011.08,2022-03-29 09:37:35.846,15012.09,15013.59
108,2022-03-29 06:37:38.150000,15010.33,15012.23,2022-03-29 09:37:38.278,15012.84,15014.34
109,2022-03-29 06:37:40.565000,15009.58,15011.48,2022-03-29 09:37:41.155,15012.09,15013.59
110,2022-03-29 06:37:42.025000,15010.16,15012.06,2022-03-29 09:37:43.357,15012.09,15013.59
111,2022-03-29 06:37:44.967000,15010.02,15011.92,2022-03-29 09:37:45.378,15012.34,15013.84
112,2022-03-29 06:37:47.410000,15010.02,15011.92,2022-03-29 09:37:47.744,15012.34,15013.84
113,2022-03-29 06:37:49.297000,15010.08,15011.98,2022-03-29 09:37:50.125,15012.59,15014.09
114,2022-03-29 06:37:49.297000,15010.08,15011.98,2022-03-29 09:37:52.325,15012.59,15014.09
115,2022-03-29 06:37:54.375000,15010.27,15012.17,2022-03-29 09:37:54.451,15012.59,15014.09
116,2022-03-29 06:37:57.248000,15009.74,15011.64,2022-03-29 09:37:57.320,15011.84,15013.34
117,2022-03-29 06:37:59.833000,15009.33,15011.23,2022-03-29 09:38:00.430,15011.59,15013.09
118,2022-03-29 06:38:02.584000,15009.93,15011.83,2022-03-29 09:38:02.889,15011.84,15013.34
119,2022-03-29 06:38:05.279000,15010.43,15012.33,2022-03-29 09:38:06.089,15012.59,15014.09
120,2022-03-29 06:38:08.117000,15010.23,15012.13,2022-03-29 09:38:08.538,15012.84,15014.34
121,2022-03-29 06:38:10.825000,15010.33,15012.23,2022-03-29 09:38:11.223,15012.84,15014.34
122,2022-03-29 06:38:13.001000,15010.83,15012.73,2022-03-29 09:38:13.058,15012.84,15014.34
123,2022-03-29 06:38:15.035000,15010.08,15011.98,2022-03-29 09:38:15.071,15012.34,15013.84
124,2022-03-29 06:38:16.272000,15010.08,15011.98,2022-03-29 09:38:17.992,15012.34,15013.84
125,2022-03-29 06:38:20.339000,15010.36,15012.26,2022-03-29 09:38:20.445,15012.59,15014.09
126,2022-03-29 06:38:21.244000,15009.95,15011.85,2022-03-29 09:38:21.304,15012.34,15013.84
127,2022-03-29 06:38:27.093000,15010.08,15011.98,2022-03-29 09:38:27.558,15012.34,15013.84
128,2022-03-29 06:38:29.517000,15010.14,15012.04,2022-03-29 09:38:29.552,15012.34,15013.84
129,2022-03-29 06:38:31.394000,15010.08,15011.98,2022-03-29 09:38:31.846,15012.34,15013.84
130,2022-03-29 06:38:36.493000,15008.91,15010.81,2022-03-29 09:38:36.898,15011.59,15013.09
131,2022-03-29 06:38:38.343000,15008.91,15010.81,2022-03-29 09:38:38.412,15011.09,15012.59
132,2022-03-29 06:38:41.057000,15009.13,15011.03,2022-03-29 09:38:41.509,15011.59,15013.09
133,2022-03-29 06:38:42.777000,15009.33,15011.23,2022-03-29 09:38:42.948,15011.59,15013.09
134,2022-03-29 06:38:42.777000,15009.33,15011.23,2022-03-29 09:38:45.578,15011.59,15013.09
135,2022-03-29 06:38:47.725000,15009.2,15011.1,2022-03-29 09:38:47.753,15011.59,15013.09
136,2022-03-29 06:38:50.114000,15009.18,15011.08,2022-03-29 09:38:50.194,15011.59,15013.09
137,2022-03-29 06:38:51.881000,15009.38,15011.28,2022-03-29 09:38:52.360,15011.34,15012.84
138,2022-03-29 06:38:54.327000,15009.39,15011.29,2022-03-29 09:38:55.013,15011.34,15012.84
139,2022-03-29 06:38:54.986000,15008.88,15010.78,2022-03-29 09:38:55.013,15011.34,15012.84
140,2022-03-29 06:38:59.576000,15008.93,15010.83,2022-03-29 09:39:00.038,15011.09,15012.59
141,2022-03-29 06:39:01.368000,15008.67,15010.88,2022-03-29 09:39:02.214,15011.34,15012.84
142,2022-03-29 06:39:05.494000,15008.88,15010.78,2022-03-29 09:39:05.526,15011.34,15012.84
143,2022-03-29 06:39:08.144000,15009.58,15011.48,2022-03-29 09:39:08.203,15012.09,15013.59
144,2022-03-29 06:39:09.046000,15009.45,15011.35,2022-03-29 09:39:09.077,15011.59,15013.09
145,2022-03-29 06:39:12.527000,15009.33,15011.23,2022-03-29 09:39:13.156,15011.34,15012.84
146,2022-03-29 06:39:15.224000,15009.2,15011.1,2022-03-29 09:39:15.255,15011.34,15012.84
147,2022-03-29 06:39:17.203000,15009.65,15011.55,2022-03-29 09:39:18.161,15011.84,15013.34
148,2022-03-29 06:39:20.507000,15010.43,15012.33,2022-03-29 09:39:20.565,15013.09,15014.59
149,2022-03-29 06:39:22.071000,15011.08,15012.98,2022-03-29 09:39:22.140,15013.34,15014.84
150,2022-03-29 06:39:24.351000,15010.99,15012.89,2022-03-29 09:39:25.161,15013.09,15014.59
151,2022-03-29 06:39:26.710000,15011.2,15013.1,2022-03-29 09:39:27.272,15013.34,15014.84
152,2022-03-29 06:39:28.848000,15009.83,15011.73,2022-03-29 09:39:29.451,15012.34,15013.84
153,2022-03-29 06:39:31.151000,15010.39,15012.29,2022-03-29 09:39:31.612,15012.59,15014.09
154,2022-03-29 06:39:34.094000,15010.39,15012.29,2022-03-29 09:39:34.804,15012.84,15014.34
155,2022-03-29 06:39:37.076000,15010.27,15012.17,2022-03-29 09:39:37.087,15012.59,15014.09
156,2022-03-29 06:39:38.559000,15010.52,15012.42,2022-03-29 09:39:39.868,15013.09,15014.59
157,2022-03-29 06:39:42.073000,15011.2,15013.1,2022-03-29 09:39:42.270,15013.34,15014.84
